,conf_name,energy
1,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00023.POSCAR_all_sites/CONTCAR,-360.63688336
42,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,-360.62631598
49,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00546.POSCAR_all_sites/CONTCAR,-360.6240944
34,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00398.POSCAR_all_sites/CONTCAR,-360.59155879
24,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00265.POSCAR_all_sites/CONTCAR,-360.58001804
43,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00483.POSCAR_all_sites/CONTCAR,-360.54513374
37,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,-360.54035721
30,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,-360.53844148
11,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00124.POSCAR_all_sites/CONTCAR,-360.53009782
5,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00076.POSCAR_all_sites/CONTCAR,-360.53006546
17,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,-360.52206194
29,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00337.POSCAR_all_sites/CONTCAR,-360.52140029
6,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,-360.50615845
48,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,-360.50139239
35,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,-360.49400954
9,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,-360.48582318
51,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,-360.48471005
28,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,-360.47924544
45,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,-360.47497603
20,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00206.POSCAR_all_sites/CONTCAR,-360.46945743
13,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,-360.46822149
15,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00182.POSCAR_all_sites/CONTCAR,-360.45848279
3,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-360.45624245
21,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00226.POSCAR_all_sites/CONTCAR,-360.45079037
55,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,-360.44350663
16,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00185.POSCAR_all_sites/CONTCAR,-360.43990877
39,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,-360.4384183
12,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00131.POSCAR_all_sites/CONTCAR,-360.430088
23,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-360.42643864
52,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00572.POSCAR_all_sites/CONTCAR,-360.41990985
40,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00466.POSCAR_all_sites/CONTCAR,-360.4110425
4,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00057.POSCAR_all_sites/CONTCAR,-360.4038464
36,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00420.POSCAR_all_sites/CONTCAR,-360.40036183
47,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00518.POSCAR_all_sites/CONTCAR,-360.39854473
31,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00351.POSCAR_all_sites/CONTCAR,-360.39329819
57,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00632.POSCAR_all_sites/CONTCAR,-360.39240542
33,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00380.POSCAR_all_sites/CONTCAR,-360.39085522
18,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00202.POSCAR_all_sites/CONTCAR,-360.39009949
46,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00513.POSCAR_all_sites/CONTCAR,-360.38938393
7,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00085.POSCAR_all_sites/CONTCAR,-360.38144237
19,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00205.POSCAR_all_sites/CONTCAR,-360.38127805
22,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00235.POSCAR_all_sites/CONTCAR,-360.37811727
32,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00371.POSCAR_all_sites/CONTCAR,-360.37688673
38,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00456.POSCAR_all_sites/CONTCAR,-360.37275964
44,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00500.POSCAR_all_sites/CONTCAR,-360.37201855
10,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00115.POSCAR_all_sites/CONTCAR,-360.36833059
50,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00552.POSCAR_all_sites/CONTCAR,-360.36022953
27,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00303.POSCAR_all_sites/CONTCAR,-360.35849327
26,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00300.POSCAR_all_sites/CONTCAR,-360.35616931
54,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00587.POSCAR_all_sites/CONTCAR,-360.35434373
53,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-360.3518249
56,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00612.POSCAR_all_sites/CONTCAR,-360.35164546
0,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00017.POSCAR_all_sites/CONTCAR,-360.35034891
2,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00034.POSCAR_all_sites/CONTCAR,-360.34900803
25,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00278.POSCAR_all_sites/CONTCAR,-360.34878221
41,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-360.34854771
8,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00102.POSCAR_all_sites/CONTCAR,-360.34751313
14,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00160.POSCAR_all_sites/CONTCAR,-360.34368522
